description,id,location
La actividad del ser humano en el planeta Tierra y sus alrededores.,97,Planeta Tierra
,98,Ciudad de México
Alberta Prime Times - A daily source of news and information for Albertans in the prime of their life.  Powered by Edmonton Prime Times and Calgary Prime Times.,99,Alberta
https://t.co/DQai0jtFOz Heavy Equipment Operator Disabled Veteran Business Owner Fire Photographer.Mike.Fila.Photography@gmail.com,100,
"Pronouns Hairy/Ape, and are you KIDDING me?? Love The Farm, capturing wildlife on the Critter Cams, fighting for freedom 😊🇨🇦🇨🇦🇨🇦🇨🇦🚛🚚🚒",101,
“I will forever be (Emergency Use Authorization + Immunity from Liability) hesitant” I retweet a lot. @ Rulala on GETTR #noDigitalID,102,
Following fire and emergency news in Halifax. Not formally affiliated with Halifax Fire.  Option to support the page: https://t.co/N7kV7Hej6T,103,
"A retired, disabled, high school History & Celtic Studies Educator. I have been to 16 countries with People to People.  joined Mastodon @kam3266@newsie.social",104,
"Proud Nova Scotian.  RTs/links=not endorsements.  I seek knowledge.  Military, sports, politics, intel/global affairs.  My opinions here are my own.  #NSstrong",105,"Yarmouth, Nova Scotia"
"Advancing the power of facts, globally 🌎",106,Global
"I'm mostly interested in #BCNews, #Vancouver and #CanadaNews.",107,
Fiction writer. Occasionally gets in trouble  | Book link:  https://t.co/MbzydkUE8U | AO3: https://t.co/DIfmlTKpP0  | 🔞 GenX,108,Kanada
Bob average Joe blow eat hotdog cheese pizza. Bob cherry coke at movies,109,
Retired college teacher & persistent writer. Now on Substack https://t.co/ZI2mFCndIM Born 1941 (CO2 ppm: 310). Polio survivor.,110,"North Vancouver, BC"
Perpetually curious,111,New Songhees (Esquimalt) BC
"Aerial Firefighters based in Bozeman, Montana. Our mission is to protect the lives, property, and habitats threatened by wildfires.",112,"Bozeman, MT"
"Professor, University of Alberta, intersecting Indigenous epistemologies, water, climate change and the wellbeing of species.",113,Canada & Aotearoa New Zealand
Our stories told our way.,114,
Laugh & scroll,115,"Sausalito, CA"
"Avec le nihilisme, pas de discussion possible; car le nihiliste logique doute que son interlocuteur existe, et il n'est pas bien sûr d'exister lui-même. v. hugo",116,
,117,"London, England🇬🇧"
Photographer | politics/social-enviro justice/anti-oppression/addiction recovery/Basic Income/culture critiques/MCS enviro sensitivity (he/him),118,"Guelph, Ontario"
Watching the world spin madly on... Make no claims to the authenticity of the content.  The Unreality is here & verification is going to be impossible.,119,On the same planet as everyone
"Happily married! Deeply Canadian, humanist (1 human race), anti-fascist, like fitness, photography. Photo's ©️ except RT. #WiseWords #LiteracyConnectsUs",120,Canada
pastaio,121,bratislava
,122,
,123,
KamloopsBCNow Stuff that Matters.,124,"Kamloops, BC"
Male,125,"Calgary, Alberta, Canada"
Nova Scotia Canada 🇨🇦,126,Canada
"Following wiser heads, smarter news. Let's share them people.",127,Ngunnawal/Ngambri country
"Είμαι σαν το ποδήλατο, μπορε; να με παρατήσεις για  καιρό αλλά πάντα με θυμάσαι.: )  Περιβαλλοντολόγος. Environmental Scientist Homo sapiens, Athens Greece GenX",128,"Athens, Greece"
"AmeriCanadian writer + knowledge junkie. I love: Science. Art. Humo/ur. In Nova Scotia and Central Illinois via Chicago & Portland, Maine.",129,"Halifax, Nova Scotia"
Generalist. I learn. I think. Sometimes I write about it. (he/him) My links: https://t.co/VtEBxZds4Z,130,"San Francisco, CA"
Love 🌵🐘🐕🐈‍⬛✈️🌎⚾️#Biden 🕶#Resist#Democrat No DMs,131,
"(Verify this Bitches🖕)  ** Skywarn Severe Weather Spotter* •Forman/Technician at  CRCRV •Musician, Craftsmen & President of D&B Small Engine Service &  Repair•",132,"Hilden, NS"
"Certified #permaculture designer, #foodsecurity #voiceovers ecology-compost-politics-philosophy-positive solutions-clean energy-media literacy-communications",133,"Okanagan, British Columbia"
#Aotearoa #NZ,134,"Auckland, New Zealand"
"Drops of rain whisper on payne, tears of love lost days gone by as mountain's crumble to the sea",135,
"Director Climate Emergency Institute, IPCC expert reviewer, Co-author Unprecedented Crime, published on climate change, sustainable development, biodiversity,",136,Victoria BC Canada
Das geht jetzt so weiter.,137,Austria
"News Curator, Content Curator",138,
"All the latest from the foreign desk at the @Guardian in London and all points north, south, east and west",139,London
#Periodista i persona. #journalist @apuntnoticies @apuntmedia Ex @radioeuskadi Sempre per als #meus #valencià #euskera #castellano #english,140,Entre La Vall d’Uixò i Tolosa
I like books. I like chocolate. I make amazing brownies and am probably in the middle of creating my next cosplay outfit. she/her,141,
"Sikh-Canadian dancing Bhangra — traditional folk dance of Punjab🚩, and talking about joy, hope, positivity and inclusivity for healing/optimism.",142,"Yukon, Canada"
Fire Dept./Academy SCBA Tech ; Alumni- @BrowardFireAcad ; Per Diem Spectator- @flapanthers ; Ground Ops Crew- @JetBlue | My Tweets!,143,"Deerfield Beach, FL"
"Angry and afraid - because I am paying attention. Board member, Carleton and U of Ottawa alumna, married mom of millennial daughters",144,Ottawa
,145,
"Volcanologist, climate scientist, writer, broadcaster, activist, socialist, best-selling author of HOTHOUSE EARTH: AN INHABITANT'S GUIDE.  Born @ 313",146,The wonderful Peak District
"Local news, events, sports, entertainment and more.  Use the hashtag #PentictonNow",147,"Penticton, British Columbia"
Stuff that Matters,148,Prince George
Official account for news outlet https://t.co/8aZ32Qjrr4: Stuff That Matters. Instagram: kelownanow,149,"Kelowna, BC, Canada"
A fresh look at community news that matters to you — that’s the mission of the Prince George Post. Sign up for our newsletter here: https://t.co/QbVEcodFDh,150,"Prince George, BC"
"Official tweets of The Day Trading Academy.  Where traders find success, wealth, or freedom through #investing and #trading.  Let's Create Your Lifestyle.",151,Worldwide
June is the month dedicated to the Sacred Heart of Jesus!🙏🏻🙏🏻🙏🏻❤️‍🔥,152,Canada eh!🇨🇦🇨🇦🇨🇦
Semiretired librarian. Liberal. Member of the Independent Company. I’m interested mainly (not exclusively) in Canada’s role in the World Wars. Opinions my own.,153,"Bruce County, ON"
"History nerd tending to pedantry. PO1 Naval Communicator, RCN.  All opinions are my own.",154,"Halifax, Nova Scotia"
"Re-enactor/living historian, SWW enthusiast, ISPinvestigator, cyclist, #Chatterton, Horsa won the SWW",155,
"Co-author of 1995 Good Tea Guide, CCCU alumni, former World Record Holder, Captain Soave to the Independent Company - views are my own. I have paused",156,Kent & London
Jane Gulliford Lowes Author/Lawyer/Military History/Halifax Bomber nerd/Where Eagles Dare fan📚Above Us The Stars 10 Sqn Bomber Command. New project #Lofoten41,157,Woods due west of castle
Husband and Dad. An ancient PE teacher but a younger history teacher. SAFC 🔴⚪️ and Durham CCC 🏏. Trying to be a bandit on the golf course.. ⛳️,158,Seaton Village - 'Dun Cowish'
History is my thing. Love🐘. Like a 👒. Book reader. Pod listener. Take the odd picture. Inspiration: Hermione Ranfurly. Girly swot. Organised Chaos.,159,"Here, there, everywhere"
🇬🇬 Warro! IC member #158. Blog about Occupation of the Channel Islands https://t.co/MeX6xGEw69. Also  @fortress_island. Find me on https://t.co/62ARrmzqav,160,"Saint Sampson, Guernsey"
Bristol Rovers. Springsteen. Aspiring scale model maker. Likes hats. The Independent Company #479 @nickgrubb@mastodon.world,161,
Goddess who fought hard to be that. Heart recipient #organdonation . Family is my everything. #police💙 #detective #veteran #education #Grandma,162,Amor Fati 💞💐🌈💙
"Singer & muso from Medway Towns, Kent. Love my Wife & Son. Train Guard on mainline. Interests F & SWW, F1, Rugby & The Railways. @WeHaveWaysPod IC #132",163,"Medway Towns, Kent, UK"
Bees don’t waste their time explaining to flies that honey is better than shit,164,Guernsey
"Barrister, Guernsey Advocate, International Playboy (semi retired), IC member 34 & v grumpy old man - all views expressed are mine all mine! RT ≠ endorsement.",165,"Guernsey, Channel Islands"
"Travel, f&b, sport and a proud member of the Independent Company #1737. Views my own..",166,"Brighton, England"
WeHaveWays IC Member #1962,167,"England, United Kingdom"
"married postie , keen follower @wehavewaysofmakingyoutalk  loves sww books, Dutch wife do a bit of running likes Arsenal FC ,#upsidedownbookclub1",168,uk
"Married to Claire, dad of Jacob & Emma, South Staffs exile, honorary 🇬🇬, 14-18/39-45, IC #93, @KentCricket @rclens & @WBA MA student Second World War @wlv_uni",169,"White Cliffs Country, Kent"
"Happy (or just delirious) Dad with tolerant family, filling in odd spare moments & dreaming of Spitfires. IC#70. Ramblings are my own, retweets aren’t.",170,About there...
History is everything we are. Music is our soul.  War #history my passion. Researching/writing about Chaplains at War. Sometime guitarist. #Yorkshire #SWFC,171,South Yorkshire
"Software Developer/Architect- OSDev, Embedded Systems, C/C++, Rust, x86-64/ARM Assembly, PAYPHONES.  Often sarcastic; Court Reporter; #TransRightsAreHumanRights",172,"Calgary, Alberta, Canada."
"fuck convites, chuds & terfs. prev. suspended for harassing Nazis.",173,
Organic computer existing inside a clumsy meat suit,174,Third Rock From the Sun
"@NWS Severe, Fire, Public, & Winter Weather Services Branch Chief | @AMS_WAF Chair | @AMS_Wea Editor | #Meteorologist | 🇺🇸🇵🇭 | Opinions are my own.",175,"Bowie, MD"
"Tweets mainly about Severe Weather, Satellite imagery, Radar data, Climate - Based in Grenoble, France - Contact: nahel.belgherze@esrf.fr",176,France
"Refuse to be pigeon-holed by a mere sentence. Interests: world events, music, art, history, nature, science, UK, Earth. Politics: Liberty, Democracy, Ecology 🌍",177,UK
"From newly charted astronomical anomalies at the far reaches of the universe to the rise of nanotechnology, nobody covers science like http://t.co/RtkLii8CUo.",178,
"I’ll try to reach and teach the World from my own, quiet corner. ABC! Twitter is nought but autocorrupt. Spring forth. 💜 🇨🇦 🇺🇦 ☮️ 🌈",179,"Nova Scotia, Canada"
"#MMTActivist #ForThePublicPurpose #RealProgressives I’m all about People, Peace, and Planet— rooted in macroeconomic reality.",180,"New Hampshire, USA"
#PublicPolicy #ThinkTank #MMT #JobGuarantee #GreenJobs #Solar #FullEmployment #GreenTech #Jobs #ClimateAction #LearnMMT #Wind #Geothermal #Aquaponics #NoPlanetB,181,Planet Earth
"Canadian.  Tries to hate no one, failing most days due to Doug Ford, Donald Trump, McConnell and other Conservatives/Republicans in Canada and the US.",182,
mama • Newfoundlander hanging my hat in Nova Scotia • freelance writer • CAPS Sommelier • thrift shopper • breakfast sandwich enthusiast,183,"Halifax, NS"
Connect with us 7-days a week from 6am – 11pm EST. Follow us for TD news & info. Our disclaimer: https://t.co/OK3cAlyXf6,184,"1,100+ branches across Canada"
"Be informed, stay aware and take action. Do unto others as they wish done to them. A collection of News Headlines Worldwide and Climate Change frontline news.",185,"Louisiana, USA"
Minister of ECC; Minister of MACA; Minister Responsible for Youth; MLA for Nahendeh,186,Northwest Territories
,187,
,188,"Oakton, VA"
,189,United States
“May God ruin him”,190,
"Retired award-winning news director, anchor, commentator, analyst etc. I enthusiastically block assholes.",191,"Toronto, Canada"
(Rhymes with ‘comma kitty’) Retired lady who stays busy and loves America. Thanks to anyone who may read my tweets. (she/her) #BLM #🏳️‍🌈🇺🇸🇺🇦,192,
Cash’s Mom,193,
,194,
Breaking news and more from CTV News.,195,
"Writer, Creator, Streamer, Game Journalist, Designer, Futurist, Neurodivergent Heretic | StackUp Charity Streamer | EIC - @AnjelSyndicate | Opinions are my own!",196,Pijinuiskaq - Nova Scotia
Watch weeknights at 6 p.m. AT on CBC TV or online: https://t.co/40tXpIQ7ob… https://t.co/ICV437icvs https://t.co/uobaZyndYH,197,Nova Scotia
"A Canadian fisherman with a camera sharing images of landscapes, ocean creatures, earth sciences, your health and the truth about the topical issues of the day.",198,"Clarks Harbour, NS, Canada"
like and subscribe.,199,"San Bruno, CA"
"Rocket Scientist, retired. 🇨🇦🌎🌊🕵️‍♂️#TheResistance",200,"Pacific Northwest, BC"
"Bio? Oh, no. Fiction writer. Golden Retriever girl. Flip-flop lover.",201,"Ontario, Canada"
#IndigenousLivesMatter #ArmyBrat #ClimateChange #TheResistance🏳️‍🌈 #WildlifeSupport #LGBTQSupporter #BLM,202,"Nova Scotia, Canada"
Extremadura 💚🤍🖤,203,
,204,"British Columbia, Canada"
"Community-minded with a global conscience, we boldly redefine the university as a place of belonging.  Make your move #myTRU",205,"Kamloops, BC"
"I am a Friday person in a Monday world. #BLM #BlackLivesMatter Sober since 2005, #OneDayAtaTime, #PucksInDeep ,NO LISTS",206,"Okanaganopolis, Cascadia"
Committed to helping distinguish Thompson Rivers University as among the province's research leaders.   #TRUresearch,207,"Kamloops, BC, Canada"
,208,Canada
"Born @ 320 ppm she/her Just taking one breath at a time, Deep Adaptation 🇪🇺",209,"UK, ZA, Pt, India, CR"
"Vox populi, vox mundi!",210,
"The Disaster Channel strives to capture the drama of the forces of nature along with news of the space & earth sciences. Hurricanes, tornadoes, volcanoes, fires",211,"Florida, USA"
"SARSAV is an association of search & rescue professionals who volunteer their time for training, search missions, prevention & awareness. CRA #873941645RR0001",212,Saskatchewan
Building a safe and resilient Canada. Suivez-nous en français @securite_canada. Terms of Use: https://t.co/U1jQAAWjMy,213,Canada
"Natural Resources Canada tweets about #Energy, #Mining, #Forestry Terms: https://t.co/I3TRfa7XTA Français : @RNCan",214,Canada
“The first principle is that you must not fool yourself.” Dream2D phenomenon n Living3D- #Marketing #SocialMedia #Advertising ~ Married,215,
consulting programmer @dougfort@mastodon.social https://t.co/ptM4x3srwq,216,Arlington VA USA
#FireTwitter since 2017 | #wildfire + storm updates | West Coast #earthquake + #volcano + #spaceweather monitoring | @BCquakehelp,217,"West Coast, North America"
"The National Interagency Fire Center, or NIFC, is located in Boise, Idaho and is the nation's support center for wildland firefighting.",218,"Boise, Idaho"
"Won AGT15 Canada,3rd SOYTYCANS16, Coast Awards 2012-22, Animal Aromatherapist, @chasemasterson's fish - He/His Past International Director of Compliance Twitter",219,"Dartmouth, Nova Scotia"
"MBA, writer, environment advocate.  ""Justice moved my high maker; Divine power made me, Wisdom Supreme, and primal love.Before me no things were created...",220,United States
Irish Canadian Educator 🇨🇦 🇮🇪  UPEI SMU MSVU OISE UT All about the bass 🎶  the poetic & the sociological NO DM'S,221,Canada🍁
"K9 Handler, #GSAR Volunteer, #PIO. Instagram @cansark9. Tweets are my own, & may not be organizationally representative. Retweets don’t endorse. BPR completed.",222,"Halifax, Nova Scotia, Canada"
"PREMILLENNIAL (God says what He means and means what He says) Born '52, born again '73. Author, grandad of 10. Editor of ""The Lord Is Near Devotional Calendar.""",223,"Nova Scotia, Canada"
🏆 Award Winning Videographer @DagleyMedia 🎥 Content Creator 💍 Weddings 🗞 News 🎤 Livestream 🚀 Drone ⚠️ Tweets are my own ♻️ RT ≠ endorsement,224,"Halifax, Nova Scotia, Canada"
Reporter/editor.,225,"Sydney, Cape Breton, N.S."
"Official Cape Breton Regional Police Twitter. Not monitored 24/7. For emergencies, call 9-1-1.",226,"CBRM, Nova Scotia"
Fierce fan of democracy.  Fully vaxed & masked nurse.  Will never understand MAGA & anti-vaxxers/maskers.  Hoping for better days soon. Proud UM alum--Go Blue!,227,"Columbus, OH"
Just a humble woman curious of the world and it's occupants. Officially 50yrs now..cancer free this is my year... long haul.. but I'm here..,228,"Cape Breton, Nova Scotia"
"Governor of Maine. Fighting for affordable health care, a stronger economy, and a world-class education for every Maine child.",229,"Farmington, ME"
"Hello to all let's all be positive in 2023 and be positive. Jesus has our backs, happily married 23 years to my photographer husband Dave.",230,"Halifax, Nova Scotia"
,231,
"A group of earth, atmospheric, solar scientists and engineers who conclude that the sun is the main driver of climate change.Not you.Not CO2. R/T ≠ endorsement.",232,
"Math professor at StFX, obsessed with geometry/topology/connections with art. Single mom, music lover, book hoarder, feminist. Settler in Mi’kmaki. She/her.",233,Nova Scotia
"Big weather and sports fan.  Noon, 4 PM, 7 PM meteorologist. Email me at cewing@wghp.com  Or find me on Facebook at https://t.co/0AVwd9IuU5",234,
Canada's national news organization. Customer care: @GlobeHelp. Share info with us anonymously: https://t.co/ROPEUCh7gm,235,Canada
"Visit https://t.co/ToVZsVDQB9 & sign up to become a #LPC supporter, to donate or to become a volunteer.",236,Kildonan-St. Paul Winnipeg MB
Cuenta oficial de La Buena Onda Radio la radio hecha por y para el pueblo.,237,Spain
"I am a person of a few words, action speak best,",238,Somewhere in Canada
"Carrying on a quest it is, to make a place for all. Lover of Art. Purveyor of Peace’ E(ARTHEAR)T #PushPeaceAndKeepItInMotion #HashTag",239,earth
✝💜☮Loving the Lord and the life He has given me☮💜✝                              ~*~Trump 2024~*~,240,"Eugene, OR"
We all matter or none of us do.,241,
,242,
Civil Service,243,
"U.S. political coverage, breaking news and special investigations.",244,United States
"BC legislative journalist, editor/founder of @BeatNorthern. Fran@NorthernBeat.ca   https://t.co/Kg5T9HKuFH",245,Planet Earth
"The latest Tony's Tweets and the best thing about Twitter, yes you can chirp interesting historical facts. Let's do it on the social media application.",246,Worldwide
"Bookworm. Carries a camera, dabbles w paints. Curious. Wears red lipstick. Laughs. Plants flowers.Compulsions w Sciences,World Affairs. Sometimes she wanders.",247,West Vancouver Canada
"MP for Carleton, @CPC_HQ leader, running to be Prime Minister of Canada - Député de Carleton, chef du @PCC_HQ, candidat au poste de premier ministre du Canada",248,"Ottawa, Ontario"
"My focus is on Prairie #News. I post mostly about #Alberta, #Saskatchewan and #Manitoba.",249,Calgary
"I like & respect everyone, until given reason not to. I don't ask for sources b/c I look up assertions- u can do same. @uWaterloo - Soc Dev Studies (min. psych)",250,
I'm passionate about #Quebec and #CDNNews.,251,
"From Ireland, living in Canada. Married to @barbienewf.🇮🇪🇨🇦 Proud Teamster. Part time EMS. #avgeek RT's ≠ endorsements.",252,"Newfoundland, Canada."
"🌎🔬Doctor, Lecturer, Environmentalist  🎨🤔 Lover, GF-Flexitarian, 👩‍🍳 Expert, GPA ⚔️ Born at 333 ppm #environment #science #AIID EN/FR",253,Montreal
In all the world there is no one else exactly like me.,254,"St. Andrews, Manitoba"
,255,
News from a sane perspective.  Anti-Extremism reporting for all Americans!,256,USA Flyover Where News Happens
"Hi! This is Dan from OTR Pilot Car. We are Northen Ontario's Leading Pilot Car Service for Oversize and Super loads. Hazards Assessments, Audits and Plans!",257,"Sudbury, Ontario Canada 🇨🇦"
Urban bee keeper extraordinaire and I love The Great White North!!!,258,Toronto
,259,
She/her. Covid has me collecting pets like they’re stamps. Get vaccinated. Wear your mask. Tax the rich. @MostlyDolores@mastodon.social,260,"Ottawa, Canada"
,261,"Toronto, Ontario"
,262,
,263,
#WearAMask #StayHome Indian in Canada,264,"Toronto, Ontario"
"Annapolis Valley Register editor, https://t.co/OsgNZHm2cz journalist and sports fan.",265,
"Reporting for The Guardian newspaper in Charlottetown since 1995. Huge animal lover. Star Trek nerd. Blue Jays fan, multi-decade Leafs victim. (He, him)",266,Charlottetown
Retired,267,Nova Scotia
"The most informative half-hour in Canada. Weeknights with @DFriesenGlobal. For breaking news, follow @globalnews.",268,Watch online
"Son, brother, husband, father, grandfather.",269,
"Get the latest American and Canadian news from PKB News in the US and Canada: breaking news, political and current affair news from US & Canada.",270,United states
"Passionate Canadian Office 365 / SharePoint / Teams Consultant. Loves dogs, castles, and the Scottish Highlands! My tweets are my own.",271,"Ontario, Canada"
"We're part of the @InsuranceBureau family along with @IBC_Pacific, @IBC_West, @IBC_Ontario, @BAC_Quebec. Together, we represent Canada’s P&C insurers.",272,Atlantic Canada
The Maritimes' #1 Newscast,273,"Maritime Provinces, Canada"
Ultimate in East Indian Cuisine. Proudly serving food in Edmonton for over 32 years.,274,"17507 100 Ave NW, Edmonton, AB"
"Health professional, entrepreneur and philanthropist",275,"Los Angeles, CA"
"Tortiecat servant, disaster response, not leaving twitter till there's a comparable option or it shuts down (opinions my own)",276,
‘What fresh hell is this?”,277,
Make equity and health the focus for safer communities and streets. Tweets by Martyn and maybe Ella & John too (personal views).,278,"Sipekne’katik, Mi'kma'ki"
"Dad, software developer, project manager.  Fan of sci-fi, superheroes, philosophy, music, and the ocean.  He/him.",279,Lower Sackville
Canada Patch is the news portal for India & Canada,280,"Vancouver, British Columbia"
Only join on bang garr giveaways!,281,Solok
"Lover of Creativity, Transparency in Gov’t, Human & Privacy Rights. HUGE Soundgarden Fan. Save our #StolenSisters #MMIW. #BlackLivesMatter❤️🏳️‍⚧️🏳️‍🌈She/ Her",282,"ᐊᒥᐢᑿᒌᐚᐢᑲᐦᐃᑲᐣ, Treaty 6"
"Scienligion-The Final Capstone (Tweet & Retweet Beautiful Nature, Places, Things, & People; Weather, Climate, Environment, Life, World, Universe, etc....)",283,Capstone = 🏔
NOAA Research provides the research foundation for understanding our planet through tech innovation & scientific advances.   This is an official @NOAA account.,284,US
🍀#TestiBunaR #thankswoniee #VenusIsReal🍀,285,Payakumbuh
Knowledge Junkie 🤓 Hardcore Hallmark Movie Fan ❤️ Lack Patience For No Common Sense 🤦🏻‍♀️ Immunocompromised #KeepMasksinHealthcare,286,"New Brunswick, Canada"
,287,
Be the Karen you want to see in the world.  @Loliryder@projectmushroom.social  #LandBack She/her/screenwriter,288,Wetewa'toksiq
"James (he/him) is: an American married to a Belarusian immigrant; eco-humanist; RBE; blogger, streamer, geek; and all around INTP Introvert.",289,"Baraboo, WI"
Transforming the legal landscape. We're a nonprofit org safeguarding the environment through legal solutions that bridge Indigenous & Canadian law. Since 1974🌱,290,British Columbia
📍 #CRD | #Sooke | #Comox | #SaltSpring ✨ Igniting the potential of children & youth through #Mentoring 🤲 Help us make a BIG difference for young people #BBBS,291,"Victoria, BC Canada"
